Date,Total Cases,Thakurgaon Sadar,Baliadangi,Pirganj,Ranisankail,Haripur,Death Cases,Death Area,Recovered Cases
11-04-2020,3,0,0,1,0,2,0,-,0
12-04-2020,0,0,0,0,0,0,0,-,0
13-04-2020,0,0,0,0,0,0,0,-,0
14-04-2020,0,0,0,0,0,0,0,-,0
15-04-2020,0,0,0,0,0,0,0,-,0
16-04-2020,0,0,0,0,0,0,0,-,0
17-04-2020,2,0,0,0,1,1,0,-,0
18-04-2020,1,0,0,0,1,0,0,-,0
19-04-2020,0,0,0,0,0,0,0,-,0
20-04-2020,0,0,0,0,0,0,0,-,0
21-04-2020,1,1,0,0,0,0,0,-,0
22-04-2020,0,0,0,0,0,0,0,-,0
23-04-2020,0,0,0,0,0,0,0,-,0
24-04-2020,0,0,0,0,0,0,0,-,0
25-04-2020,0,0,0,0,0,0,0,-,0
26-04-2020,1,0,1,0,0,0,0,-,0
27-04-2020,6,0,1,2,0,3,0,-,0
28-04-2020,1,0,0,0,0,1,0,-,0
29-04-2020,0,0,0,0,0,0,0,-,0
30-04-2020,1,0,0,1,0,0,0,-,0
01-05-2020,0,0,0,0,0,0,0,-,0
02-05-2020,3,0,1,0,0,2,0,-,0
03-05-2020,0,0,0,0,0,0,0,-,0
04-05-2020,0,0,0,0,0,0,0,-,0
05-05-2020,2,1,1,0,0,0,0,-,5
06-05-2020,0,0,0,0,0,0,0,-,0
07-05-2020,3,1,0,0,1,1,0,-,0
08-05-2020,0,0,0,0,0,0,0,-,1
09-05-2020,0,0,0,0,0,0,0,-,0
10-05-2020,0,0,0,0,0,0,0,-,4
11-05-2020,1,0,0,1,0,0,0,-,4
12-05-2020,0,0,0,0,0,0,0,-,0
13-05-2020,0,0,0,0,0,0,0,-,1
14-05-2020,0,0,0,0,0,0,0,-,0
15-05-2020,3,0,1,1,0,1,0,-,0
16-05-2020,6,1,1,0,1,3,0,-,0
17-05-2020,1,0,0,0,0,1,0,-,2
18-05-2020,1,0,0,1,0,0,0,-,2
19-05-2020,4,0,2,1,0,1,0,-,2
20-05-2020,3,0,1,1,1,0,0,-,1
21-05-2020,4,2,1,1,0,0,0,-,1
22-05-2020,4,0,0,2,1,1,0,-,0
23-05-2020,10,3,6,1,0,0,0,-,0
24-05-2020,0,0,0,0,0,0,0,-,0
25-05-2020,2,0,2,0,0,0,0,-,0
26-05-2020,0,0,0,0,0,0,0,-,0
27-05-2020,4,2,0,1,0,1,0,-,0
28-05-2020,17,2,9,3,1,2,0,-,0
29-05-2020,0,0,0,0,0,0,0,-,1
30-05-2020,25,11,2,4,5,3,1,Ranisankail,0
31-05-2020,2,0,2,0,0,0,0,-,1
01-06-2020,11,7,3,0,0,1,0,-,0
02-06-2020,0,0,0,0,0,0,1,Thakurgaon Sadar,2
03-06-2020,NT,NT,NT,NT,NT,NT,0,-,7
04-06-2020,8,6,0,1,1,0,0,-,0
05-06-2020,0,0,0,0,0,0,0,-,0
06-06-2020,5,0,2,0,3,0,0,-,2
07-06-2020,9,4,1,2,2,0,0,-,7
08-06-2020,NT,NT,NT,NT,NT,NT,0,-,1
09-06-2020,6,0,0,1,4,1,0,-,3
10-06-2020,1,0,1,0,0,0,0,-,10
11-06-2020,4,0,3,1,0,0,0,-,0
12-06-2020,0,0,0,0,0,0,0,-,6
13-06-2020,4,1,0,0,0,3,0,-,3
14-06-2020,2,2,0,0,0,0,0,-,12
15-06-2020,6,0,2,1,2,1,0,-,0
16-06-2020,0,0,0,0,0,0,0,-,2
17-06-2020,2,0,1,0,0,1,0,-,0
18-06-2020,4,3,1,0,0,0,0,-,8
19-06-2020,2,0,0,1,1,0,0,-,1
20-06-2020,1,0,0,0,0,1,0,-,0
21-06-2020,6,3,3,0,0,0,0,-,3
22-06-2020,5,3,1,0,0,1,0,-,2
23-06-2020,5,3,1,1,0,0,0,-,0
24-06-2020,1,1,0,0,0,0,0,-,6
25-06-2020,5,3,0,0,0,2,0,-,1
26-06-2020,4,2,1,0,1,0,0,-,1
27-06-2020,0,0,0,0,0,0,0,-,8
28-06-2020,2,1,1,0,0,0,0,-,7
29-06-2020,0,0,0,0,0,0,0,-,17
30-06-2020,2,0,0,1,0,1,0,-,0
01-07-2020,2,0,0,1,0,1,0,-,4
02-07-2020,NT,NT,NT,NT,NT,NT,0,-,3
03-07-2020,3,3,0,0,0,0,0,-,1
04-07-2020,16,9,2,0,2,3,0,-,5
05-07-2020,0,0,0,0,0,0,0,-,4
06-07-2020,2,2,0,0,0,0,0,-,9
07-07-2020,10,9,0,1,0,0,0,-,10
08-07-2020,2,1,1,0,0,0,0,-,1
09-07-2020,5,1,1,0,3,0,0,-,2
10-07-2020,7,6,0,1,0,0,0,-,5
11-07-2020,5,4,0,1,0,0,0,-,0
12-07-2020,0,0,0,0,0,0,0,-,0
13-07-2020,6,2,1,2,0,1,0,-,12
14-07-2020,5,4,1,0,0,0,0,-,0
15-07-2020,0,0,0,0,0,0,0,-,0
16-07-2020,0,0,0,0,0,0,1,Baliadangi,1
17-07-2020,6,5,1,0,0,0,0,-,21
18-07-2020,11,8,0,0,2,1,0,-,0
19-07-2020,1,0,1,0,0,0,0,-,1
20-07-2020,8,5,1,0,2,0,1,Thakurgaon Sadar,1
21-07-2020,1,1,0,0,0,0,0,-,1
22-07-2020,7,4,0,2,1,0,1,Pirganj,1
23-07-2020,5,4,1,0,0,0,1,Ranisankail,0
24-07-2020,3,3,0,0,0,0,0,-,5
25-07-2020,11,4,4,0,3,0,0,-,0
26-07-2020,15,2,3,0,3,7,0,-,4
27-07-2020,14,9,3,0,1,1,0,-,12
28-07-2020,7,4,1,1,1,0,0,-,0
29-07-2020,9,3,2,1,0,3,0,-,3
30-07-2020,4,4,0,0,0,0,0,-,3
31-07-2020,12,5,4,1,1,1,0,-,2
01-08-2020,8,5,2,0,1,0,0,-,3
02-08-2020,24,16,4,0,2,2,0,-,0
03-08-2020,14,9,2,3,0,0,1,Thakurgaon Sadar,1
04-08-2020,1,0,0,1,0,0,0,-,1
05-08-2020,9,2,0,1,6,0,1,Haripur,22
06-08-2020,28,20,6,1,1,0,0,-,2
07-08-2020,26,15,7,0,4,0,0,-,0
08-08-2020,13,5,0,3,2,3,0,-,0
09-08-2020,18,9,4,2,3,0,0,-,2
10-08-2020,23,11,2,1,4,5,0,-,11
11-08-2020,7,6,0,0,1,0,1,Thakurgaon Sadar,4
12-08-2020,17,13,2,0,2,0,0,-,1
13-08-2020,27,NA,NA,NA,NA,NA,1,Thakurgaon Sadar,10
14-08-2020,21,10,2,3,5,1,0,-,4
15-08-2020,30,12,6,4,0,8,0,-,0
16-08-2020,9,7,2,0,0,0,1,Haripur,0
17-08-2020,28,18,2,0,7,1,0,-,43
18-08-2020,34,11,9,5,3,6,1,Pirganj,7
19-08-2020,21,11,10,0,0,0,1,Thakurgaon Sadar,36
20-08-2020,18,4,5,3,6,0,0,-,2
21-08-2020,16,10,3,0,3,0,0,-,19
22-08-2020,21,12,6,2,1,0,1,Pirganj,0
23-08-2020,16,3,7,3,2,1,0,-,23
24-08-2020,11,9,0,1,1,0,0,-,46
25-08-2020,29,20,8,1,0,0,0,-,7
26-08-2020,17,16,0,0,1,0,1,Ranisankail,25
27-08-2020,11,5,3,0,0,3,1,Haripur,11
28-08-2020,22,0,7,7,8,0,0,-,0
29-08-2020,10,9,0,0,0,1,0,-,0
30-08-2020,3,0,3,0,0,0,1,Thakurgaon Sadar,15
31-08-2020,13,10,0,3,0,0,1,Baliadangi,3
01-09-2020,55,30,8,8,7,2,0,-,0
02-09-2020,14,6,3,0,4,1,1,Haripur,30
03-09-2020,NT,NT,NT,NT,NT,NT,1,Thakurgaon Sadar,19
04-09-2020,NT,NT,NT,NT,NT,NT,0,-,4